source,district_name,charter_chapter,charter_url,matched_pwsid,matched_pws_name,match_score,match_status,has_service_polygon,has_political_bnd
epa_system,CHIMNEY HILL COLCHESTER,,,VT0005654,CHIMNEY HILL COLCHESTER,,unmatched_system,Y,N
epa_system,PUTNEY SCHOOL,,,VT0006624,PUTNEY SCHOOL,,unmatched_system,Y,N
epa_system,NORTH HARBOR,,,VT0020002,NORTH HARBOR,,unmatched_system,Y,N
epa_system,MOUNTAINDALE,,,VT0020003,MOUNTAINDALE,,unmatched_system,Y,N
epa_system,VERNON HALL,,,VT0020031,VERNON HALL,,unmatched_system,Y,N
epa_system,SOUTH HERO FIRE DISTRICT 4,,,VT0020080,SOUTH HERO FIRE DISTRICT 4,,unmatched_system,Y,N
epa_system,VILLAGE AT ORMSBY HILL HOA,,,VT0020091,VILLAGE AT ORMSBY HILL HOA,,unmatched_system,Y,N
epa_system,ORCHARD COMMONS,,,VT0020098,ORCHARD COMMONS,,unmatched_system,Y,N
epa_system,VILLAGE AT SAWMILL FARMS,,,VT0020100,VILLAGE AT SAWMILL FARMS,,unmatched_system,Y,N
epa_system,TRAILSIDE AT MAGIC MOUNTAIN,,,VT0020151,TRAILSIDE AT MAGIC MOUNTAIN,,unmatched_system,Y,N
epa_system,LEDGEWOOD,,,VT0020153,LEDGEWOOD,,unmatched_system,Y,N
epa_system,BENNINGTON COLLEGE,,,VT0020184,BENNINGTON COLLEGE,,unmatched_system,Y,N
epa_system,MALLETTS BAY WATER CO,,,VT0020333,MALLETTS BAY WATER CO,,unmatched_system,Y,N
epa_system,WAKE ROBIN CORP,,,VT0020449,WAKE ROBIN CORP,,unmatched_system,Y,N
epa_system,DEEPWOOD PARK,,,VT0020455,DEEPWOOD PARK,,unmatched_system,Y,N
epa_system,KINGSWOOD AT MOUNT SNOW,,,VT0020456,KINGSWOOD AT MOUNT SNOW,,unmatched_system,Y,N
epa_system,WESTBURY PARK,,,VT0020466,WESTBURY PARK,,unmatched_system,Y,N
epa_system,WINDEMERE MHP,,,VT0020551,WINDEMERE MHP,,unmatched_system,Y,N
epa_system,NORTH HERO WATER SYSTEM,,,VT0020562,NORTH HERO WATER SYSTEM,,unmatched_system,Y,N
epa_system,GRAND ISLE CONSOLIDATED WATER DISTRICT,,,VT0020614,GRAND ISLE CONSOLIDATED WATER DISTRICT,,unmatched_system,Y,N
epa_system,MOUNTAIN VIEW COURT,,,VT0020722,MOUNTAIN VIEW COURT,,unmatched_system,Y,N
epa_system,POWNAL FIRE DISTRICT 2,,,VT0020734,POWNAL FIRE DISTRICT 2,,unmatched_system,Y,N
epa_system,EAST MOUNTAIN MHP,,,VT0020760,EAST MOUNTAIN MHP,,unmatched_system,Y,N
epa_system,WILLOWS MHP,,,VT0020775,WILLOWS MHP,,unmatched_system,Y,N
epa_system,WHITE BIRCHES MHP,,,VT0020801,WHITE BIRCHES MHP,,unmatched_system,Y,N
epa_system,OAK HILL ESTATES WATER SYSTEM,,,VT0020867,OAK HILL ESTATES WATER SYSTEM,,unmatched_system,Y,N
epa_system,PUTNEY WATER SYSTEM,,,VT0020934,PUTNEY WATER SYSTEM,,unmatched_system,Y,N
epa_system,BUTTERFIELD COMMON SENIOR HOUSING,,,VT0020962,BUTTERFIELD COMMON SENIOR HOUSING,,unmatched_system,Y,N
epa_system,HUCKLE HILL HOUSING,,,VT0020986,HUCKLE HILL HOUSING,,unmatched_system,Y,N
epa_system,DORSET COMMUNITY HOUSING,,,VT0020990,DORSET COMMUNITY HOUSING,,unmatched_system,Y,N
epa_system,SUNDANCE SUBDIVISION,,,VT0021005,SUNDANCE SUBDIVISION,,unmatched_system,Y,N
epa_system,EASTFIELD CONDOMINIUM ASSN INC,,,VT0021020,EASTFIELD CONDOMINIUM ASSN INC,,unmatched_system,Y,N
epa_system,VALLEY CARES INC,,,VT0021029,VALLEY CARES INC,,unmatched_system,Y,N
epa_system,BOULDER RIDGE AT MT SNOW,,,VT0021035,BOULDER RIDGE AT MT SNOW,,unmatched_system,Y,N
epa_system,OUTLOOK AT MOUNT SNOW,,,VT0021057,OUTLOOK AT MOUNT SNOW,,unmatched_system,Y,N
epa_system,NORTH AVE CO-OP,,,VT0021071,NORTH AVE CO-OP,,unmatched_system,Y,N
epa_system,STRATTON WEST LEISURE LODGE CORPORATION,,,VT0021254,STRATTON WEST LEISURE LODGE CORPORATION,,unmatched_system,Y,N
epa_system,SOUTH FACE VILLAGE AT OKEMO,,,VT0021272,SOUTH FACE VILLAGE AT OKEMO,,unmatched_system,Y,N
epa_system,VISTA SENIOR LIVING,,,VT0000196,VISTA SENIOR LIVING,,unmatched_system,Y,N
epa_system,BARNET FIRE DISTRICT #2,,,VT0005029,BARNET FIRE DISTRICT #2,,unmatched_system,Y,N
epa_system,PASSUMPSIC FIRE DISTRICT 1,,,VT0005031,PASSUMPSIC FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,DANVILLE FIRE DISTRICT 1,,,VT0005037,DANVILLE FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,EAST HARDWICK FIRE DISTRICT 1,,,VT0005038,EAST HARDWICK FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,LYNDONVILLE WATER SYSTEM,,,VT0005040,LYNDONVILLE WATER SYSTEM,,unmatched_system,Y,N
epa_system,LYN HAVEN FIRE DISTRICT 1,,,VT0005041,LYN HAVEN FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,ST JOHNSBURY WATER SYSTEM,,,VT0005045,ST JOHNSBURY WATER SYSTEM,,unmatched_system,Y,N
epa_system,ST JOHNSBURY CENTER F D 1,,,VT0005046,ST JOHNSBURY CENTER F D 1,,unmatched_system,Y,N
epa_system,SUTTON WATER SYSTEM,,,VT0005048,SUTTON WATER SYSTEM,,unmatched_system,Y,N
epa_system,WHEELOCK FIRE DISTRICT 1,,,VT0005049,WHEELOCK FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,BOLTON COMMUNITY WATER SYSTEM,,,VT0005051,BOLTON COMMUNITY WATER SYSTEM,,unmatched_system,Y,N
epa_system,FERNWOOD MANOR MHP,,,VT0005052,FERNWOOD MANOR MHP,,unmatched_system,Y,N
epa_system,HUNTINGTON FIRE DISTRICT 1,,,VT0005076,HUNTINGTON FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,VILLAGE OF JERICHO WATER SYSTEM,,,VT0005077,VILLAGE OF JERICHO WATER SYSTEM,,unmatched_system,Y,N
epa_system,JERICHO HEIGHTS WATER COOP,,,VT0005078,JERICHO HEIGHTS WATER COOP,,unmatched_system,Y,N
epa_system,RICHMOND WATER DEPT,,,VT0005084,RICHMOND WATER DEPT,,unmatched_system,Y,N
epa_system,RIVERVIEW COMMONS,,,VT0005086,RIVERVIEW COMMONS,,unmatched_system,Y,N
epa_system,JERICHO UNDERHILL WATER,,,VT0005096,JERICHO UNDERHILL WATER,,unmatched_system,Y,N
epa_system,BLOOMFIELD WATER SYSTEM,,,VT0005104,BLOOMFIELD WATER SYSTEM,,unmatched_system,Y,N
epa_system,BRIGHTON WATER SYSTEM,,,VT0005105,BRIGHTON WATER SYSTEM,,unmatched_system,Y,N
epa_system,CANAAN FIRE DISTRICT 1,,,VT0005106,CANAAN FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,CANAAN FD #2,,,VT0005107,CANAAN FD #2,,unmatched_system,Y,N
epa_system,AQUA HAVEN,,,VT0005110,AQUA HAVEN,,unmatched_system,Y,N
epa_system,GUILDHALL WATER SYSTEM,,,VT0005111,GUILDHALL WATER SYSTEM,,unmatched_system,Y,N
epa_system,LUNENBURG FIRE DISTRICT 1,,,VT0005112,LUNENBURG FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,LUNENBURG FIRE DISTRICT 2,,,VT0005113,LUNENBURG FIRE DISTRICT 2,,unmatched_system,Y,N
epa_system,BAKERSFIELD FIRE DISTRICT 1,,,VT0005114,BAKERSFIELD FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,EAST BERKSHIRE FIRE DISTRICT 1,,,VT0005115,EAST BERKSHIRE FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,ENOSBURG FALLS WATER SYSTEM,,,VT0005116,ENOSBURG FALLS WATER SYSTEM,,unmatched_system,Y,N
epa_system,EAST FAIRFIELD FIRE DISTRICT 1,,,VT0005119,EAST FAIRFIELD FIRE DISTRICT 1,,unmatched_system,Y,N
